wage,height,weight,age,educ,male,married
22100,185,110,38,10.5,1,1
48386,181,103,57,14,1,1
26244,182,87,28,14.5,1,0
19250,178,67,28,11.5,0,0
34200,188,100,30,16,1,0
107800,183,98,51,15,1,1
26000,162,63,38,15,0,0
39600,188,80,43,14.5,1,1
41600,177,87,45,10,1,1
24774,169,72,39,11.5,0,1
62200,180,98,40,12,1,1
30500,175,95,53,10.5,1,1
46868,178,78,40,11.5,1,1
25550,175,96,33,9,1,0
29400,175,68,33,16,0,0
30600,186,65,32,11.5,1,1
14400,178,70,41,13.5,1,0
26252,167,78,44,14.5,0,0
37400,183,101,52,10.5,1,0
38542,190,102,37,11.5,1,0
28500,174,70,38,11.5,0,0
43200,178,90,44,14,1,1
27100,164,89,34,11.5,0,1
14700,185,95,24,10,1,0
45642,159,61,60,18,0,1
60000,185,95,44,11,1,1
54000,192,77,39,18,1,1
84000,178,62,59,15,1,1
40800,177,67,37,18,0,0
30000,186,75,32,18,1,0
170000,187,95,58,18,1,1
40222,162,70,53,10.5,0,0
40800,170,65,57,9,1,1
39900,163,75,60,11.5,0,1
45700,176,75,31,11.5,0,1
28800,178,107,30,13.5,1,1
26232,176,68,32,12,1,0
33600,172,75,32,13.5,1,0
41200,180,90,46,10.5,1,1
65231,168,68,61,18,1,1
120000,179,87,59,10.5,1,1
38766,164,69,55,11.5,0,1
31850,172,74,59,10.5,1,0
18000,157,58,43,9,0,0
22050,179,90,26,9,1,0
27204,167,71,24,10,1,1
41963,155,70,51,10.5,0,1
30300,181,105,35,11.5,1,0
23200,199,98,36,15,1,1
14480,180,94,34,10.5,0,1
20700,173,75,43,13,1,0
36400,174,95,40,9,1,1
33700,186,110,46,11,1,1
23150,176,75,50,12,0,1
51200,187,101,57,10.5,1,1
17400,176,100,50,9,0,0
21900,186,120,41,10.5,1,0
23903,170,77,47,11.5,0,1
42000,190,90,64,12,1,1
42310,184,110,55,12,1,1
17200,190,114,24,12,1,0
30610,178,94,32,11.5,0,1
21600,184,92,41,9,1,1
45200,164,99,48,18,0,1
50000,172,65,43,18,1,1
30448,172,97,28,12,0,0
13650,186,92,30,9,1,0
18000,165,55,25,9,0,0
21350,167,57,26,11.5,1,0
31900,171,74,54,11,1,1
17690,172,90,26,11.5,0,0
18552,155,75,60,10.5,0,1
14800,155,62,42,11.5,0,0
28000,178,77,41,12,1,1
61300,178,91,42,12,1,1
35448,169,73,31,14,0,1
25808,170,71,39,10.5,1,1
33400,168,100,39,11.5,0,0
33200,183,84,27,11.5,1,0
16500,172,80,24,14,0,0
37680,186,98,59,9,1,0
77000,169,76,58,13,1,1
45400,173,70,31,11.5,1,0
54050,175,80,46,16,1,1
29670,175,68,43,12,0,1
34100,177,64,48,10.5,1,0
18240,172,72,28,9,1,0
16560,183,83,26,9,1,0
454500,187,85,49,15,1,1
78827,176,87,47,11.5,1,1
42695,179,75,42,10.5,1,1
16500,171,66,60,11,0,0
24976,174,98,35,11.5,1,0
31200,164,54,29,18,0,0
26871,170,55,29,15,0,0
33100,177,83,30,18,1,0
69560,185,84,37,18,1,0
14667,154,53,42,10.5,0,0
33988,182,110,52,11,1,1
66600,184,90,47,17,1,1
158400,182,98,47,15,1,1
16800,168,76,29,18,0,1
17931,175,80,38,11.5,0,0
12001,175,90,36,10.5,1,1
24872,182,82,40,11.5,0,0
30000,178,78,38,15,1,0
42898,179,61,38,18,0,1
20368,182,65,29,14.5,0,0
18600,187,94,41,12,1,0
30596,176,90,43,11.5,1,1
86520,178,115,42,14,1,1
25124,161,55,46,15,0,0
48000,178,83,57,12,0,0
90000,193,105,44,9,1,1
39000,174,65,37,18,0,0
18400,182,85,42,11,1,0
28030,178,80,34,15,1,1
39639,186,92,44,9,1,0
20000,173,62,35,12,0,0
42700,175,83,49,11.5,1,1
40310,165,60,44,16,0,0
23790,182,82,31,11.5,1,1
23756,160,85,42,10,0,0
24330,184,90,44,11,1,0
12493,187,90,45,14.5,1,1
18434,180,70,36,16,1,0
21600,189,90,59,10.5,1,0
14640,192,120,34,10.5,1,1
32300,182,77,45,9,1,1
78000,185,78,38,18,1,0
51650,168,76,33,11.5,0,0
256000,180,80,41,11.5,1,1
27000,159,58,35,16,0,0
19200,173,71,50,11.5,0,0
22450,168,105,31,14,0,1
26240,179,80,31,11.5,1,1
60900,191,120,52,14,1,0
60000,188,100,58,18,1,1
96700,175,60,58,13,1,1
124000,193,75,30,18,1,0
52000,184,106,53,13.5,1,1
55100,164,68,53,11.5,0,1
45514,168,78,37,14.5,0,0
31200,182,79,40,15,0,1
29250,184,91,41,10.5,1,1
31475,170,60,38,13.5,0,0
35800,178,82,46,11,1,1
44850,156,56,48,11,0,1
27000,176,65,48,10.5,1,1
27400,178,86,40,11.5,1,1
31200,178,81,61,10.5,1,1
80000,186,112,41,15,1,1
48310,183,81,41,9,1,1
14400,172,69,32,10.5,0,0
37500,183,102,36,10.5,1,1
36050,178,89,64,11,1,0
56800,183,90,39,18,1,1
34100,180,75,35,12,1,0
21300,160,53,34,13.5,0,0
23760,189,94,54,9,1,1
14750,160,90,31,10.5,0,1
32300,173,87,35,10.5,1,1
49416,178,72,44,14.5,1,1
37608,171,82,37,18,0,1
42300,172,81,52,14,1,1
19700,172,67,46,12,0,1
58300,165,70,52,11.5,1,1
24572,165,50,42,12,0,0
23460,170,58,24,11.5,0,0
66500,187,86,48,14.5,1,1
24000,176,58,43,13.5,0,0
30600,175,64,51,12,1,1
130600,178,92,52,18,1,1
144000,172,75,47,18,0,1
42600,172,92,53,10.5,1,1
16150,162,65,56,13.5,0,1
16906,172,85,51,10.5,0,0
13800,176,82,22,11.5,0,0
54010,176,50,59,11,1,1
42073,158,49,32,11.5,0,1
45673,180,85,37,11.5,1,1
43223,186,107,42,16,1,1
79400,184,72,40,18,1,1
20900,163,54,24,12,0,0
60500,192,90,55,11.5,1,0
27640,165,75,54,10.5,0,0
35800,156,63,41,18,1,0
134000,176,90,43,18,1,1
35753,170,70,41,16,0,0
51250,172,67,62,11.5,1,1
39894,180,76,33,15,1,1
45300,170,60,26,13.5,1,0
42760,163,70,59,10.5,0,1
36700,174,84,61,10.5,1,1
67029,183,81,48,11.5,1,1
41100,164,65,48,14.5,0,0
33600,185,92,53,11.5,1,1
24000,198,85,25,10,1,0
41900,192,94,43,11.5,1,1
33963,178,93,48,10.5,1,1
47920,180,70,43,15,1,0
42939,176,90,59,11.5,1,1
36638,159,52,49,12,0,1
35434,192,110,49,12,1,1
33610,180,109,53,10.5,1,0
36228,176,73,59,11,1,1
16320,158,55,59,10.5,0,1
40026,168,68,49,10.5,1,1
35133,180,84,52,14.5,1,1
43588,160,52,48,18,0,1
71626,187,85,46,18,1,1
41200,186,100,51,11.5,1,1
35100,177,83,52,10.5,1,1
24700,165,90,50,9,0,1
35100,180,100,33,13.5,1,0
15000,180,66,28,10.5,1,1
156000,187,92,59,18,1,1
36000,185,91,33,16,1,1
74100,165,67,60,10.5,0,0
64868,180,90,61,11.5,1,0
42780,178,71,47,10.5,0,0
37745,170,82,55,15,1,0
27620,189,117,37,12,1,1
32000,182,110,26,10,1,1
51300,174,62,40,11.5,0,1
41376,182,83,51,13.5,1,1
54000,180,77,35,13.5,1,0
49200,180,90,64,18,1,1
60500,184,82,42,11.5,1,0
60000,165,58,36,17,0,1
47510,188,85,34,16,1,1
24000,188,80,46,10.5,1,1
18000,172,68,33,11.5,0,1
50700,166,59,45,11.5,0,0
18400,168,62,25,10,0,0
19300,194,85,22,12,1,0
14400,176,100,62,10.5,1,1
34800,172,73,56,11,0,1
31300,174,90,34,12,0,0
44500,180,95,43,10.5,1,0
46000,179,105,47,12,1,1
18000,174,80,55,11.5,0,0
200750,176,81,63,17,1,0
39868,187,78,32,15,1,0
72000,178,74,53,11.5,1,1
45000,190,96,44,16,1,0
83340,182,95,46,18,1,1
63500,171,80,41,18,0,0
80820,181,82,44,18,1,1
40439,173,86,55,11,1,1
50705,165,95,58,10.5,0,1
48148,186,113,55,10.5,1,1
46503,185,78,40,10.5,1,1
26500,176,100,38,9,0,0
36915,180,118,57,10.5,1,1
37206,178,90,39,9,1,1
20635,155,55,53,10.5,0,1
42600,185,89,49,10,1,1
58919,180,81,51,11.5,1,0
32250,163,66,46,11.5,0,1
40700,182,84,46,11.5,1,0
28193,169,78,55,9,1,1
18822,160,63,54,10.5,0,1
120000,180,90,38,11.5,1,1
78000,180,80,40,18,1,0
26460,164,52,37,11.5,0,0
38067,175,92,48,18,1,1
102000,185,91,52,10.5,1,1
53090,184,90,53,15,1,1
39884,178,70,53,11.5,0,1
32390,170,57,50,12,0,0
24000,185,93,49,16,1,1
24173,186,85,45,16,1,1
14400,160,66,44,12,0,1
42800,164,78,47,16,0,1
84926,184,94,47,18,1,1
27618,169,77,32,18,0,0
79445,184,98,59,18,1,1
84000,170,75,53,18,1,1
33402,190,74,40,12,1,0
46600,190,100,42,15,1,0
41560,170,80,38,14,0,0
45500,193,86,43,15,1,1
17550,163,64,39,16,0,1
27150,168,74,33,11.5,0,0
20400,180,75,52,13.5,1,1
88200,180,83,49,18,1,1
23750,170,58,41,12,0,1
22800,163,51,42,14.5,0,0
64683,170,56,55,18,0,0
54630,168,65,55,18,0,1
66000,173,85,58,18,1,1
39550,187,100,56,10.5,1,1
47210,184,100,43,18,1,0
35293,163,84,60,18,0,0
38900,171,83,50,10.5,1,0
70400,176,83,55,18,1,0
50250,175,75,41,13.5,0,0
44200,177,88,52,11.5,1,0
40100,166,77,49,18,0,0
39800,186,93,45,10.5,1,1
41200,164,78,44,11.5,0,0
13000,168,68,46,9,1,0
39960,165,58,52,10.5,0,1
13500,163,54,29,18,0,1
69600,185,92,33,18,1,0
65500,178,82,32,18,1,0
56500,184,100,43,11,1,1
90200,175,98,41,18,0,0
56100,186,82,40,15,1,0
21400,170,59,32,18,0,0
40200,181,90,58,18,1,1
72300,182,87,46,16,1,1
161200,169,77,59,12,1,1
98008,175,86,41,11.5,1,1
49960,180,110,32,18,1,1
37800,164,65,64,11.5,0,1
45500,177,80,37,15,1,1
42400,174,70,51,15,0,1
97875,172,77,49,10.5,0,0
56495,161,53,41,11.5,0,1
52170,185,86,40,12,1,1
34450,171,85,47,10.5,1,1
22200,164,90,52,9,0,0
54010,172,68,45,18,1,0
42700,177,84,46,11.5,1,0
52000,183,88,51,15,1,1
55793,181,84,59,11,1,1
32800,180,107,51,9,1,0
29600,160,82,61,10.5,0,1
65600,187,75,38,11.5,1,0
84000,183,95,55,18,1,1
39195,155,58,53,16,0,1
50015,176,80,58,10.5,1,1
120000,187,90,62,18,1,1
48000,168,70,58,15,0,1
84000,170,70,36,18,0,0
112000,175,65,32,18,0,0
33800,162,85,55,10.5,0,0
27408,172,85,61,10.5,1,0
46900,181,85,51,10.5,1,1
21500,161,50,41,10.5,0,1
40500,178,82,42,11.5,1,1
19470,175,62,40,11.5,0,1
43400,173,69,39,11,1,1
67281,188,85,49,11.5,1,1
12001,164,63,48,11.5,0,1
23000,175,68,22,13,1,0
120464,198,98,62,12,1,1
60000,191,93,34,16,1,0
45600,178,63,35,18,0,0
56300,183,110,47,10.5,1,1
60000,186,86,42,14.5,1,1
15600,168,63,64,10.5,0,1
84500,184,115,54,11.5,1,1
36284,179,79,44,11,1,1
43000,178,86,33,12,1,1
44400,195,81,44,11.5,1,0
120000,183,92,44,13,1,1
66000,182,74,40,18,1,1
39600,180,71,39,11.5,1,0
109120,172,72,51,18,1,1
48000,172,70,48,12,0,0
70000,180,72,42,13.5,1,0
52000,180,90,41,15,1,1
99480,181,90,59,18,1,1
43500,160,65,54,11.5,0,1
68300,188,125,54,18,1,1
32400,172,83,37,11.5,1,1
144000,185,87,42,18,1,1
37200,185,88,41,18,1,0
30000,186,83,38,13,1,1
30000,183,93,48,11.5,1,1
16200,172,82,55,9,1,1
35936,184,96,54,10.5,1,1
18501,172,76,35,10.5,1,1
35740,198,98,51,11.5,1,1
31000,178,107,53,10.5,1,1
39300,178,60,55,10.5,1,1
61200,182,89,52,11.5,1,1
27150,162,53,48,12,0,0
36400,185,79,36,11.5,1,1
58000,174,82,39,15,1,1
45197,182,100,45,11.5,1,1
37700,170,106,42,12,0,0
48020,178,77,47,15,1,0
52260,186,96,37,16,1,1
56148,185,90,34,15,1,1
89853,187,120,40,16,1,1
44944,170,75,40,16,0,1
60800,189,102,40,18,1,1
33205,164,73,46,12,0,1
21148,194,105,36,16,1,1
59900,180,78,57,18,1,1
60800,196,110,51,14,1,1
22550,187,91,28,14.5,1,1
44600,184,78,39,12,1,0
49400,191,97,49,16,1,1
29956,182,80,33,15,1,1
46700,160,65,49,18,0,0
53600,180,90,59,13,1,1
46596,164,62,56,11.5,0,1
54200,185,83,42,18,1,1
29325,194,123,44,10.5,1,0
42600,180,95,64,11,1,1
39080,172,83,62,15,1,1
30000,176,70,34,15,1,0
12010,170,64,27,15,0,0
36400,178,135,60,11,1,1
27050,170,68,60,10.5,1,1
33300,185,104,34,10.5,1,1
23550,163,68,27,15,0,1
20225,172,97,29,10.5,1,1
48800,183,86,48,16,1,1
42100,183,105,37,12,1,1
26400,186,104,52,13,1,1
32800,180,81,60,10.5,1,0
49000,186,107,36,13.5,1,1
18000,180,67,31,12,0,1
48000,189,84,48,13.5,1,1
61080,186,105,41,18,1,1
24800,170,65,59,9,1,1
34400,187,97,37,11,1,1
20625,168,63,29,14.5,1,0
19200,168,73,27,12,0,0
19305,180,80,30,14.5,1,0
16880,164,54,27,10.5,0,0
90000,176,108,48,12,1,1
45800,177,67,59,7,1,0
42068,180,80,46,10,1,0
29815,160,65,50,11,0,0
27800,180,79,46,10.5,1,1
21600,163,100,52,12,0,0
28065,165,70,61,11,1,0
36800,164,50,54,11.5,0,0
21050,170,73,32,11.5,1,0
16000,162,52,26,12,0,0
22380,174,67,29,10.5,0,0
57600,176,81,51,18,1,1
50724,175,89,56,18,1,1
47100,180,88,57,18,1,1
21615,176,63,45,18,0,0
154400,184,97,61,18,1,1
31000,169,100,51,12,1,1
21780,180,75,33,11.5,1,0
48016,167,64,48,14.5,0,1
34200,169,66,41,16,0,0
35280,170,75,50,11.5,1,0
31750,177,75,53,10.5,1,1
38200,181,88,56,10.5,1,1
208500,170,78,43,18,1,1
43200,196,110,39,12,1,1
26700,186,95,35,10.5,1,1
37103,188,100,56,10.5,1,1
36150,178,93,62,11,1,1
37193,158,58,56,14,0,1
42500,185,135,54,11,1,1
13600,168,71,51,9,0,1
25150,180,85,23,11.5,0,0
47900,175,70,31,10,1,0
19440,191,85,21,10,1,0
26400,175,70,32,11.5,0,0
36500,176,85,57,16,1,1
27200,164,57,53,11.5,0,1
29899,174,70,45,12,0,1
43750,181,112,52,15,1,1
46660,183,82,30,11.5,1,0
33695,172,61,50,9,1,1
106585,177,70,58,16,1,1
20542,160,58,58,12,0,1
41850,172,67,35,16,0,1
28100,172,83,64,9,1,1
26400,182,71,36,11.5,1,0
29210,172,65,34,15,0,1
20865,185,73,35,11.5,1,1
34801,168,59,56,16,0,1
37366,184,95,64,10.5,1,1
156800,167,69,51,18,0,1
23698,155,70,60,11,0,1
50400,173,89,38,14,1,1
40200,184,80,40,12,1,0
27600,175,83,37,11.5,1,1
84000,180,85,52,15,1,1
25800,158,66,59,10.5,0,0
66000,162,90,35,18,0,0
44463,182,88,55,10.5,1,1
30600,170,65,55,11.5,1,1
40800,180,80,53,11,1,1
33000,178,82,51,10.5,0,1
49500,164,61,54,18,0,0
43850,164,57,43,11.5,0,1
27050,175,68,45,9,1,1
71500,180,70,39,12,1,1
35300,167,72,41,18,0,1
39385,172,85,40,16,1,1
25992,174,60,36,10.5,1,0
36950,170,80,36,16,0,1
29600,178,92,37,11.5,1,1
29100,165,92,59,10,0,0
15900,172,85,48,10.5,1,0
66302,178,92,62,10.5,1,1
15000,183,94,35,9,1,0
43000,178,95,37,14.5,1,1
36400,175,80,60,10.5,1,1
34400,157,68,57,10.5,0,1
96000,172,75,44,18,1,1
35880,185,85,59,11,1,0
100100,196,127,44,11,1,1
67800,195,94,44,15,1,1
18400,168,75,46,14.5,0,0
29440,178,82,38,9,1,0
30150,170,65,46,12,0,1
31200,186,90,37,12,1,0
30601,186,83,43,11.5,1,1
24000,165,60,39,10.5,0,1
37000,182,100,49,11.5,1,1
22500,183,85,57,10.5,1,0
52046,172,79,52,18,1,0
74200,177,75,43,15,1,1
44200,165,62,42,12,0,1
36100,185,88,50,10.5,1,1
15960,173,70,24,14.5,0,0
37240,186,99,42,10.5,1,1
45400,183,78,50,11.5,1,0
39976,184,79,58,10.5,1,1
31600,180,81,48,9,1,1
110000,170,72,48,18,1,1
51000,178,84,46,11.5,1,1
35300,165,70,45,14.5,0,1
28120,187,94,47,9,1,1
44160,188,85,34,14.5,1,0
86400,180,82,37,15,1,0
13713,167,58,46,10.5,0,0
21603,170,85,43,11.5,0,0
30033,178,80,39,11,1,0
33400,187,101,45,10.5,1,1
72000,187,90,61,18,1,1
12993,168,60,58,12,0,1
32100,180,88,51,10.5,1,1
100700,175,65,52,18,0,0
30180,160,65,49,13,0,0
70250,185,91,50,11.5,1,1
37791,170,68,46,12,0,1
54000,162,67,53,11.5,0,1
27900,174,64,64,9,1,1
33111,174,61,40,18,0,1
16133,183,76,45,13,1,1
31072,194,105,37,18,1,1
75600,186,70,56,17,1,1
27060,172,63,41,12,0,1
22244,163,52,38,10,0,0
20180,175,59,44,11,1,0
14220,175,87,44,12,1,1
40200,183,85,41,13.5,1,1
60000,172,94,53,13.5,1,1
85200,173,93,39,16,1,1
30500,173,83,38,16,0,1
49240,181,95,35,14.5,1,1
49893,161,58,30,14.5,0,1
43950,178,72,58,13.5,1,1
14546,166,68,59,9,0,1
42000,183,130,50,10.5,1,1
20500,161,54,47,14,0,1
60000,187,73,50,17,1,1
43400,183,73,37,14.5,1,1
39800,190,82,42,15,1,1
44400,191,95,54,11.5,1,1
33610,174,79,52,12,1,1
27600,167,53,25,11.5,0,0
128040,195,102,47,14,1,1
21500,165,57,41,11.5,0,0
40800,172,82,45,10.5,1,0
35600,182,110,48,10.5,1,1
52100,187,86,44,14,1,1
25800,171,97,38,11.5,0,0
41200,178,100,53,10.5,1,1
60300,175,92,35,18,1,0
14154,180,83,43,13.5,1,0
44619,163,66,33,18,0,1
48551,184,98,37,16,1,1
50430,178,125,50,13.5,1,1
14312,168,67,50,18,0,1
31262,165,86,46,14,0,1
51260,180,90,47,12,1,1
60599,160,61,54,13,0,1
108800,171,70,58,18,1,1
20051,176,130,50,11.5,1,1
68000,180,115,45,12,1,0
24381,160,67,55,11,0,0
56300,184,94,45,18,1,1
45600,193,120,45,12,1,1
18670,157,48,41,11.5,0,1
45500,182,91,59,11,1,1
49697,162,53,58,11,0,1
55674,172,78,64,18,1,1
28123,157,57,59,18,0,1
65570,182,75,31,18,1,0
36000,186,88,58,12,1,0
120000,170,85,43,18,0,1
70900,183,77,40,14.5,1,1
41500,176,81,52,11.5,1,1
35200,165,85,58,11,0,1
20400,165,58,29,14,0,0
52200,176,79,44,14.5,1,1
48100,183,79,40,15,1,1
32960,174,99,58,10.5,1,1
20600,162,67,59,10.5,0,1
49410,185,125,48,11.5,1,0
34600,164,55,44,11.5,0,1
45629,188,88,50,10.5,1,1
23000,178,106,25,10,0,1
32300,188,86,35,11.5,1,1
54700,180,100,59,10.5,1,1
32400,174,67,55,10.5,0,1
40490,186,84,37,15,1,1
42388,168,68,33,13.5,0,0
24012,176,66,51,10.5,1,1
44100,183,107,59,10.5,1,1
25564,160,85,28,10.5,0,1
35410,178,105,60,10.5,1,1
22800,163,62,55,9,0,1
34287,168,65,37,15,0,0
61438,194,83,38,16,1,0
36000,183,105,36,11.5,1,0
26400,169,95,42,18,0,0
56450,175,83,64,15,1,1
27676,175,68,33,16,0,0
43498,173,70,33,13.5,0,0
68250,170,92,60,11.5,1,1
23500,158,65,57,11.5,0,1
36648,158,66,31,15,0,0
59200,176,72,52,16,1,0
68064,183,80,44,18,1,0
148600,175,64,40,18,0,0
61651,172,72,59,11,1,1
24700,180,63,28,11.5,0,0
46520,188,103,36,11.5,1,1
36107,185,83,48,18,1,1
30788,168,75,45,18,0,1
56422,172,65,40,10,0,0
31755,180,90,39,12,1,1
17250,196,97,22,10.5,1,0
99000,170,75,46,18,1,0
68650,169,74,42,11.5,0,0
28100,175,86,33,9,1,0
16600,167,70,36,9,0,1
48000,182,95,40,12,1,1
54000,180,76,30,18,1,1
24000,175,85,58,15,1,1
26657,188,110,36,18,1,1
48980,178,70,32,16,1,1
87850,190,90,53,16,1,1
30000,165,80,44,18,0,1
54555,173,83,50,16,1,1
41750,170,92,56,9,1,1
23050,190,75,25,11.5,1,0
54100,194,123,40,10.5,1,1
46300,182,115,53,16,1,0
51900,173,72,54,11.5,1,1
43329,166,61,51,11.5,0,1
41718,173,73,36,18,1,1
23200,192,90,25,9,1,0
69584,172,98,61,14.5,1,1
43200,161,59,37,14.5,0,1
29152,189,90,37,12,1,1
59200,177,90,39,14.5,1,0
61200,187,126,41,12,1,1
32500,170,85,38,10.5,0,0
36100,171,78,47,10.5,1,1
26900,152,73,47,11.5,0,1
25200,169,55,32,11.5,0,0
24000,178,87,35,10.5,1,0
48000,178,92,51,13.5,1,0
23050,163,57,46,10.5,0,0
42900,168,64,40,11.5,0,1
32435,190,110,38,10.5,1,1
55820,190,85,33,18,1,1
54000,178,108,60,11.5,1,1
30355,175,85,57,10,0,0
34103,167,61,59,10.5,0,1
27600,170,52,27,16,0,0
